x,y
0.0,2.4990410804748535
23.186373161497446,2.4782962799072266
46.37280338495222,2.4633169174194336
69.55929067626346,2.4482498168945312
92.74583503293542,2.4270405769348145
115.93243645735518,2.411750316619873
139.11909494703633,2.3902316093444824
162.3058105011984,2.374723434448242
185.49258312393445,2.352908134460449
208.67941280941827,2.337188482284546
231.86629956527355,2.3150887489318848
255.05324338457552,2.299163818359375
278.24024426746075,2.2767913341522217
301.4273022155808,2.2606680393218994
324.6144172313229,2.2444698810577393
347.8015893158126,2.2217183113098145
370.98881845951155,2.205331325531006
394.17610467423145,2.182332992553711
417.3634479482335,2.1657631397247314
440.5508482925719,2.1425271034240723
463.73830570113887,2.1257810592651367
486.9258201722962,2.102318286895752
510.1133917094702,2.085402250289917
533.301020309176,2.061720371246338
556.4887059774128,2.044640064239502
579.6764487082543,2.027500629425049
602.8642485058841,2.003511905670166
626.05210536601,1.986217975616455
649.2400192886682,1.9620320796966553
672.4279902781428,1.9445884227752686
695.6160183334717,1.9202139377593994
718.8041034505346,1.9026267528533936
741.9922456334339,1.8780708312988281
765.1804448796831,1.860345482826233
788.3687011902172,1.8356164693832397
811.5570145673229,1.817758321762085
834.7453850018344,1.7998548746109009
857.9338125065211,1.7748782634735107
881.1222970726523,1.7568504810333252
904.3108387022612,1.7317185401916504
927.4994373932966,1.7135716676712036
950.6880931519391,1.6882930994033813
973.87680596866,1.6700328588485718
997.0655758546854,1.6446151733398438
1020.254402800477,1.626247763633728
1043.4432868086942,1.6006991863250732
1066.6322278843877,1.5822302103042603
1089.821226021581,1.5637304782867432
1113.0102812186049,1.5379936695098877
1136.1993934805412,1.519402027130127
1159.3885628038645,1.4935541152954102
1182.5777891929902,1.4748759269714355
1205.7670726428184,1.448925256729126
1228.956413155667,1.4301680326461792
1252.145810732621,1.4041237831115723
1275.3352653709626,1.38529372215271
1298.524777069154,1.3591651916503906
1321.7143458363428,1.3402693271636963
1344.9039716581171,1.3213605880737305
1368.0936545455313,1.2951126098632812
1391.283394496997,1.2761485576629639
1414.4731915065072,1.2498390674591064
1437.6630455814939,1.2308275699615479
1460.8529567162125,1.2044665813446045
1484.0429249148563,1.1854150295257568
1507.2329501732236,1.1590129137039185
1530.4230324954071,1.1399283409118652
1553.6131718772867,1.113495111465454
1576.8033683213403,1.0943849086761475
1599.9936218250816,1.0752798318862915
1623.1839323943186,1.0488024950027466
1646.3743000214097,1.029681921005249
1669.5647247090144,1.003197193145752
1692.7552064604179,0.9840667843818665
1715.945745273134,0.9575846195220947
1739.136341144667,0.9384503364562988
1762.3269940798764,0.9119799137115479
1785.5177040720785,0.8928464651107788
1808.7084711289879,0.8663962483406067
1831.8992952429628,0.8472678065299988
1855.0901764222933,0.8281550407409668
1878.281114658581,0.8017256259918213
1901.4721099561498,0.7826210260391235
1924.663162314905,0.7562292814254761
1947.8542717323007,0.7371348142623901
1971.0454382109558,0.7107881307601929
1994.2366617489092,0.6917052268981934
2017.4279423515343,0.6654120087623596
2040.6192800068513,0.6463437080383301
2063.8106747275892,0.6201162338256836
2087.002126505965,0.6010682582855225
2110.1936353437804,0.5820388197898865
2133.385201244553,0.5559026002883911
2156.576824202084,0.5369082689285278
2179.768504221596,0.5108849406242371
2202.960241297848,0.49194401502609253
2226.152035434539,0.4660640358924866
2249.343886632957,0.4471970498561859
2272.535794885793,0.4214969873428345
2295.727760202144,0.40273553133010864
2318.9197825779497,0.3772611618041992
2342.111862008767,0.3586428165435791
2365.303998504842,0.34009894728660583
2388.4961920526625,0.3150126338005066
2411.688442664906,0.2966693639755249
2434.88075033046,0.27196046710014343
2458.073115061237,0.253880113363266
2481.265536845488,0.22963565587997437
2504.458015691412,0.21189184486865997
2527.650551593275,0.18821972608566284
2550.8431445586493,0.17090502381324768
2574.0357945790965,0.14794409275054932
2597.2285016562573,0.13118824362754822
2620.4212657924786,0.11471143364906311
2643.614086988836,0.09307004511356354
2666.8069652419854,0.07741012424230576
2689.9999005508744,0.05697841942310333
2713.1928929214914,0.04246396943926811
2736.3859423479207,0.023910824209451675
2759.5790488335883,0.01125725544989109
2782.772212377532,2.2390567622210256e-08
2805.9654329755404,-0.00744924321770668
2829.158710632664,-0.01834184117615223
2852.3520453480824,-0.027661088854074478
2875.545437119309,-0.03707317262887955
2898.7388859522425,-0.049884550273418427
2921.9323918382925,-0.059415459632873535
2945.125954780886,-0.07237007468938828
2968.3195747826817,-0.08198503404855728
2991.513251842627,-0.09509744495153427
3014.7069859548865,-0.10481736063957214
3037.900777126226,-0.11813183128833771
3061.094625357448,-0.12795484066009521
3084.2885306444027,-0.14147183299064636
3107.4824929861575,-0.15137866139411926
3130.6765123860077,-0.16130569577217102
3153.870588840741,-0.1750379055738449
3177.064722352745,-0.18503253161907196
3200.2589129203297,-0.1988942176103592
3223.453160547064,-0.20896148681640625
3246.6474652266975,-0.2229483723640442
3269.8418269628387,-0.23310154676437378
3293.036245757108,-0.24723057448863983
3316.230721605244,-0.2574797570705414
3339.4252545106324,-0.27176642417907715
3362.619844473209,-0.28211331367492676
3385.814491489771,-0.2924881875514984
3409.009195561788,-0.3069996237754822
3432.2039566893063,-0.3174676299095154
3455.3987748741583,-0.33212733268737793
3478.5936501144024,-0.3426850438117981
3501.788582408441,-0.3574877083301544
3524.9835717580354,-0.3681309223175049
3548.178618163979,-0.3830695152282715
3571.3737216227464,-0.3937925398349762
3594.568882137946,-0.40885642170906067
3617.764099711904,-0.4196529984474182
3640.959374337039,-0.43046730756759644
3664.1547060177572,-0.4456951916217804
